App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
ExoPlayer,AdPlaybackStateTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/source/ads/AdPlaybackState.java,149,15,23,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5
ExoPlayer,AdsMediaSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/ads/AdsMediaSource.java,237,20,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ExoPlayer,LoopingMediaSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/LoopingMediaSource.java,165,11,0,0,0,0,3,0,0,24,3,0,1,1,0,0,0,0,1,1,0,0,0
ExoPlayer,TimelineTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/Timeline.java,224,8,27,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,4,0,0,0,2
ExoPlayer,DefaultLoadErrorHandlingPolicyTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/upstream/DefaultLoadErrorHandlingPolicy.java,138,14,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,DataSourceInputStreamTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/upstream/DataSourceInputStream.java,107,5,18,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3
ExoPlayer,DefaultBandwidthMeterTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/upstream/DefaultBandwidthMeter.java,588,46,35,31,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4
ExoPlayer,AssetDataSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/upstream/AssetDataSource.java,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ExoPlayer,CacheFileMetadataIndexTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/upstream/cache/CacheFileMetadataIndex.java,135,6,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2
ExoPlayer,SimpleCacheSpanTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/upstream/cache/SimpleCacheSpan.java,146,8,12,0,1,0,0,1,0,10,4,0,2,0,0,1,0,2,1,0,0,0,0
